Location,Crop,Soil_Type,pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Expected_Yield_ton_per_hectare
Ranchi,Pulses,Sandy Loam,6.04,Low,Low,Medium,1026,28,1.89
Ranchi,Wheat,Clay Loam,7.31,High,Low,Medium,999,23,3.32
Ranchi,Maize,Sandy Loam,6.17,Low,High,High,925,28,2.59
Ranchi,Maize,Loamy,7.32,Medium,Medium,Medium,1117,25,3.56
Ranchi,Rice,Clay Loam,6.06,Low,High,Medium,1463,31,2.57
Ranchi,Wheat,Clay Loam,6.37,Low,Medium,High,1164,18,3.29
Ranchi,Maize,Loamy,6.42,Medium,Medium,Low,1044,27,2.13
Ranchi,Maize,Sandy Loam,6.26,Medium,Medium,Medium,1065,26,2.83
Ranchi,Rice,Clay Loam,5.78,Medium,Medium,High,1501,31,3.22
Ranchi,Rice,Loamy,6.51,High,Medium,Medium,1441,31,2.77
Ranchi,Wheat,Loamy,6.4,High,High,Medium,1302,19,3.21
Ranchi,Rice,Clay Loam,6.58,Low,Low,Medium,1385,25,3.09
Ranchi,Pulses,Loamy,6.0,Medium,Low,Low,846,22,1.45
Ranchi,Pulses,Sandy Loam,6.15,High,Low,Low,1080,27,1.28
Ranchi,Rice,Clayey,6.37,Medium,High,Medium,1593,28,3.94
Ranchi,Pulses,Sandy Loam,6.95,High,High,High,991,19,1.49
Ranchi,Rice,Loamy,5.79,Low,Low,High,1593,28,4.39
Ranchi,Maize,Loamy,6.92,Low,Medium,Low,1036,29,2.33
Ranchi,Pulses,Loamy,6.33,High,Medium,High,845,21,1.62
Ranchi,Wheat,Clay Loam,6.69,Low,Low,High,1371,23,2.72
Ranchi,Pulses,Sandy Loam,6.67,Low,Low,Medium,810,20,1.68
Ranchi,Maize,Loamy,5.97,High,Low,High,1127,21,3.14
Ranchi,Rice,Clayey,6.09,Low,High,High,1381,25,4.34
Ranchi,Rice,Clayey,6.03,Medium,Medium,High,1592,24,3.97
Ranchi,Pulses,Sandy Loam,6.66,Low,Medium,Medium,868,23,1.78
Ranchi,Wheat,Loamy,6.52,High,Low,High,910,23,1.9
Ranchi,Pulses,Loamy,6.65,Medium,High,Medium,814,18,2.0
Ranchi,Pulses,Sandy Loam,6.48,High,Medium,Medium,1068,18,1.17
Ranchi,Rice,Clay Loam,6.76,Low,High,Medium,1216,26,3.24
Ranchi,Rice,Clay Loam,5.64,Low,High,High,1593,29,4.0
Ranchi,Rice,Loamy,6.34,High,High,High,1534,25,3.92
Ranchi,Rice,Clayey,6.58,Medium,High,Low,1256,28,3.29
Ranchi,Pulses,Loamy,6.38,High,Medium,Low,1051,20,1.59
Ranchi,Maize,Sandy Loam,7.34,Low,High,Low,908,27,3.34
Ranchi,Rice,Clayey,6.96,Low,Low,High,1591,31,2.81
Ranchi,Maize,Loamy,7.49,Medium,Medium,Medium,1151,27,2.88
Ranchi,Rice,Clayey,6.28,Low,Medium,Low,1346,27,3.12
Ranchi,Maize,Loamy,7.24,High,High,High,1062,30,3.87
Ranchi,Rice,Loamy,6.35,Medium,Medium,Medium,1466,30,3.66
Ranchi,Wheat,Clay Loam,7.0,High,High,Medium,1154,22,1.75
Ranchi,Wheat,Clay Loam,7.47,High,High,Low,1225,25,2.0
Ranchi,Wheat,Loamy,6.01,Low,Low,High,961,24,1.89
Ranchi,Wheat,Clay Loam,6.49,Low,Low,Medium,1176,25,3.37
Ranchi,Wheat,Loamy,6.21,High,Medium,Low,1184,23,3.39
Ranchi,Wheat,Loamy,6.42,Medium,High,Low,1260,19,3.34
Ranchi,Pulses,Loamy,7.26,Medium,Medium,Medium,827,18,1.21
Ranchi,Pulses,Loamy,6.3,Low,High,Medium,838,28,1.33
Ranchi,Pulses,Sandy Loam,6.47,High,High,Low,972,18,1.91
Ranchi,Wheat,Loamy,7.37,Low,High,High,1378,19,2.29
Ranchi,Rice,Loamy,6.1,Medium,High,Low,1368,32,3.39
Ranchi,Rice,Clay Loam,6.39,High,High,Medium,1425,22,2.55
Ranchi,Pulses,Loamy,6.84,Medium,High,High,865,28,1.38
Ranchi,Wheat,Clay Loam,7.39,Medium,High,Medium,1151,25,2.02
Ranchi,Rice,Clay Loam,6.23,Low,High,High,1244,32,4.4
Ranchi,Pulses,Loamy,7.0,Medium,High,Low,1025,23,1.81
Ranchi,Pulses,Loamy,7.3,High,Low,Medium,1004,18,1.43
Ranchi,Maize,Sandy Loam,5.89,High,High,Low,1050,29,2.01
Ranchi,Rice,Clay Loam,6.65,Medium,Low,Medium,1581,22,2.68
Ranchi,Pulses,Loamy,6.28,High,Low,High,1032,26,1.9
Ranchi,Rice,Clay Loam,6.4,Low,Low,Medium,1543,27,3.72
Ranchi,Wheat,Clay Loam,7.44,Medium,High,Medium,1326,24,2.74
Ranchi,Maize,Sandy Loam,6.13,High,Low,Medium,1053,28,2.76
Ranchi,Pulses,Loamy,7.29,High,Low,Low,1010,21,1.61
Ranchi,Maize,Sandy Loam,6.77,Medium,Low,Low,978,30,3.85
Ranchi,Maize,Sandy Loam,6.05,High,High,Low,903,20,2.93
Ranchi,Wheat,Loamy,6.67,Medium,Low,Medium,1176,21,2.09
Ranchi,Maize,Loamy,6.72,Medium,Low,Medium,1069,30,3.46
Ranchi,Maize,Loamy,6.56,High,Medium,Medium,1192,19,2.02
Ranchi,Wheat,Clay Loam,6.69,High,High,Low,1305,19,2.56
Ranchi,Maize,Sandy Loam,6.49,Low,Low,High,1186,19,2.9
Ranchi,Pulses,Sandy Loam,6.45,Low,Low,Low,906,28,1.35
Ranchi,Rice,Clay Loam,5.87,Low,Medium,Low,1357,31,3.36
Ranchi,Wheat,Clay Loam,7.34,Low,High,Low,942,20,2.6
Ranchi,Rice,Clay Loam,5.88,Low,Medium,High,1518,32,2.54
Ranchi,Maize,Loamy,6.1,Low,Medium,Medium,998,30,2.28
Ranchi,Maize,Loamy,6.24,Medium,High,Low,900,18,2.3
Ranchi,Pulses,Loamy,7.26,Low,High,Low,1002,20,1.51
Ranchi,Wheat,Loamy,7.07,High,Low,Medium,1128,23,2.33
Ranchi,Pulses,Sandy Loam,6.01,High,Medium,High,1090,19,1.72
Ranchi,Wheat,Loamy,6.51,Medium,High,Low,954,18,3.13
Ranchi,Pulses,Loamy,6.24,High,Medium,High,839,23,1.01
Ranchi,Maize,Sandy Loam,6.75,Low,Medium,High,925,23,2.13
Ranchi,Rice,Clay Loam,5.94,High,Medium,Medium,1459,32,4.13
Ranchi,Maize,Loamy,7.08,Low,Low,Medium,1098,26,3.95
Ranchi,Wheat,Loamy,6.67,Low,Medium,Low,1186,21,1.91
Ranchi,Wheat,Clay Loam,7.04,Low,Medium,Low,1032,25,2.39
Ranchi,Maize,Loamy,7.49,Low,Medium,Medium,1164,26,2.59
Ranchi,Rice,Clay Loam,6.87,Low,Low,High,1593,29,3.76
Ranchi,Rice,Clay Loam,5.79,Medium,High,Medium,1269,23,3.22
Ranchi,Maize,Sandy Loam,5.92,High,Medium,Medium,1095,29,3.19
Ranchi,Pulses,Loamy,6.09,High,Low,High,1031,28,1.87
Ranchi,Maize,Sandy Loam,7.08,Low,Medium,Medium,996,30,3.05
Ranchi,Maize,Sandy Loam,6.1,Medium,High,High,1194,23,3.59
Ranchi,Maize,Loamy,6.48,Medium,High,Low,1076,28,3.04
Ranchi,Rice,Clay Loam,5.64,Medium,Low,High,1221,22,3.85
Ranchi,Rice,Loamy,6.88,Low,Medium,Low,1267,30,2.9
Ranchi,Rice,Clayey,6.66,Medium,Medium,High,1586,27,2.83
Ranchi,Rice,Loamy,6.81,High,Low,Medium,1371,27,3.97
Ranchi,Rice,Loamy,6.32,High,Medium,High,1418,31,2.93
Ranchi,Wheat,Clay Loam,6.25,High,Low,Low,1162,20,1.93
Ranchi,Maize,Sandy Loam,6.38,Low,Low,Medium,1111,26,2.66
Ranchi,Wheat,Clay Loam,7.47,High,Medium,Medium,945,23,2.46
Ranchi,Wheat,Loamy,7.32,Low,Medium,High,1105,19,3.21
Ranchi,Rice,Loamy,6.16,Medium,High,Low,1445,26,3.36
Ranchi,Wheat,Clay Loam,6.3,Low,High,Medium,941,21,2.93
Ranchi,Wheat,Clay Loam,6.97,Medium,Low,Low,1142,22,2.46
Ranchi,Rice,Clay Loam,6.05,Medium,Low,High,1496,32,3.07
Ranchi,Pulses,Sandy Loam,7.12,High,High,High,978,22,1.28
Ranchi,Maize,Loamy,7.43,High,Low,Medium,1002,18,3.94
Ranchi,Pulses,Sandy Loam,7.03,Low,High,Medium,800,19,1.96
Ranchi,Wheat,Clay Loam,6.05,Medium,Medium,Medium,904,18,2.53
Ranchi,Rice,Clayey,5.76,High,High,Low,1356,27,3.65
Ranchi,Pulses,Sandy Loam,7.28,Low,High,Medium,1081,20,1.25
Ranchi,Maize,Loamy,6.87,Low,Medium,Low,988,21,2.25
Ranchi,Maize,Loamy,6.25,High,High,Medium,1193,21,2.57
Ranchi,Wheat,Clay Loam,7.49,Low,Medium,Low,1315,21,2.76
Ranchi,Wheat,Loamy,6.53,Medium,Medium,Medium,1167,22,3.33
Ranchi,Wheat,Clay Loam,7.0,Medium,Medium,High,1214,21,3.24
Ranchi,Rice,Loamy,6.68,Medium,Low,Medium,1552,24,3.48
Ranchi,Rice,Loamy,6.68,Medium,Medium,Medium,1254,29,4.21
Ranchi,Rice,Loamy,6.14,High,Low,Low,1260,26,2.7
Ranchi,Pulses,Sandy Loam,6.53,Medium,Low,Low,898,28,1.48
Ranchi,Rice,Loamy,5.66,High,High,Low,1255,30,3.59
Ranchi,Maize,Sandy Loam,7.46,Medium,Low,Medium,921,21,2.02
Ranchi,Maize,Loamy,6.4,Low,High,Low,948,22,3.8
Ranchi,Rice,Loamy,5.59,High,Low,High,1413,28,2.76
Ranchi,Maize,Loamy,5.97,Medium,High,High,1194,24,2.64
Ranchi,Wheat,Clay Loam,7.06,Low,High,High,1335,21,2.17
Ranchi,Maize,Sandy Loam,6.6,Low,Medium,Medium,1182,30,2.29
Ranchi,Pulses,Sandy Loam,6.11,High,Low,High,1099,26,1.16
Ranchi,Rice,Clayey,6.08,Medium,High,Low,1231,26,4.46
Ranchi,Rice,Clay Loam,5.75,Low,Low,High,1372,25,4.19
Ranchi,Pulses,Sandy Loam,6.78,Medium,Low,Medium,802,20,1.74
Ranchi,Maize,Sandy Loam,6.6,Medium,Medium,Medium,923,29,3.75
Ranchi,Rice,Loamy,6.86,High,High,High,1222,22,3.87
Ranchi,Rice,Loamy,5.62,Low,Low,Low,1415,28,3.94
Ranchi,Maize,Loamy,6.3,Low,Low,High,1016,22,3.84
Ranchi,Wheat,Loamy,6.67,Medium,Medium,High,1242,20,2.35
Ranchi,Pulses,Sandy Loam,6.52,High,Low,High,871,25,2.0
Ranchi,Pulses,Sandy Loam,7.02,High,Low,Medium,1061,23,1.31
Ranchi,Rice,Clayey,5.95,Medium,High,Medium,1207,27,3.09
Ranchi,Pulses,Loamy,6.07,Medium,High,Medium,841,24,1.46
Ranchi,Pulses,Sandy Loam,6.73,High,Medium,High,911,22,1.04
Ranchi,Rice,Clayey,5.71,Medium,High,Medium,1417,25,4.05
Ranchi,Maize,Loamy,7.44,High,Low,Medium,1093,29,2.28
Ranchi,Maize,Sandy Loam,6.55,Low,Low,Low,1174,20,2.23
Ranchi,Wheat,Loamy,6.5,High,Low,Low,1098,20,3.38
Ranchi,Rice,Clayey,5.83,Low,Medium,High,1541,23,2.89
Ranchi,Rice,Loamy,6.94,Medium,Low,Low,1523,29,4.32
Ranchi,Rice,Loamy,6.79,High,High,Low,1223,26,3.89
Ranchi,Wheat,Clay Loam,7.07,High,High,Medium,1146,18,2.26
Ranchi,Maize,Loamy,5.88,Medium,High,High,1133,25,2.79
Ranchi,Rice,Clayey,5.69,Medium,Medium,Low,1237,31,3.46
Ranchi,Wheat,Clay Loam,6.92,Medium,High,High,1001,24,2.15
Ranchi,Maize,Loamy,7.41,High,Low,High,971,29,2.64
Ranchi,Maize,Sandy Loam,7.29,Low,Low,Medium,1152,28,2.41
Ranchi,Pulses,Sandy Loam,7.29,Low,High,Low,891,19,1.1
Ranchi,Pulses,Sandy Loam,6.72,Medium,Low,Low,916,27,1.61
Ranchi,Pulses,Loamy,6.76,Medium,Low,Medium,907,21,1.04
Ranchi,Maize,Sandy Loam,7.0,Medium,Low,Low,1102,28,3.99
Ranchi,Rice,Clay Loam,5.62,Medium,Medium,Medium,1521,26,4.35
Ranchi,Maize,Sandy Loam,5.91,Low,High,Medium,1173,29,2.02
Ranchi,Maize,Loamy,7.04,Low,Medium,High,1097,24,2.31
Ranchi,Maize,Sandy Loam,5.87,High,Medium,Medium,941,23,3.64
Ranchi,Wheat,Loamy,6.63,Low,Low,Low,952,22,1.86
Ranchi,Maize,Sandy Loam,7.06,High,Low,Medium,971,30,3.61
Ranchi,Maize,Loamy,6.67,High,Low,Medium,1076,19,2.08
Ranchi,Maize,Sandy Loam,6.77,Low,Medium,High,976,18,3.98
Ranchi,Pulses,Loamy,6.41,Low,Medium,Medium,817,27,1.15
Ranchi,Maize,Loamy,5.99,Medium,High,Low,994,30,2.46
Ranchi,Wheat,Clay Loam,6.56,Medium,High,Low,1113,20,2.98
Ranchi,Wheat,Loamy,6.44,Medium,Low,High,1186,20,1.7
Ranchi,Maize,Sandy Loam,5.93,High,Medium,Medium,1044,27,3.2
Ranchi,Rice,Loamy,5.61,Low,Medium,High,1406,25,4.28
Ranchi,Rice,Loamy,6.16,Low,Medium,Medium,1390,23,3.38
Ranchi,Maize,Sandy Loam,7.14,Low,Medium,Low,1195,25,2.47
Ranchi,Wheat,Clay Loam,6.05,Low,Medium,Low,1181,18,3.27
Ranchi,Pulses,Sandy Loam,6.67,High,High,Medium,897,19,1.07
Ranchi,Maize,Loamy,7.04,High,Medium,Low,936,18,3.15
Ranchi,Pulses,Sandy Loam,6.35,High,Medium,Low,1037,25,1.13
Ranchi,Maize,Loamy,6.93,Low,Medium,Medium,1047,25,3.06
Ranchi,Rice,Clayey,6.39,Low,High,High,1444,24,3.07
Ranchi,Maize,Sandy Loam,6.95,Low,Medium,Medium,941,24,2.36
Ranchi,Rice,Clayey,6.98,Low,Medium,Low,1385,25,2.83
Ranchi,Rice,Loamy,6.47,Medium,Low,High,1593,26,3.09
Ranchi,Wheat,Clay Loam,6.02,Low,Low,Low,1274,18,2.18
Ranchi,Pulses,Loamy,7.3,Low,Medium,Medium,863,27,1.77
Ranchi,Wheat,Clay Loam,7.32,Low,High,Medium,1220,25,2.42
Ranchi,Wheat,Loamy,6.27,High,High,Medium,906,21,2.84
Ranchi,Pulses,Sandy Loam,6.42,Medium,Medium,Low,933,21,1.87
Ranchi,Wheat,Clay Loam,6.7,Low,Medium,Medium,1095,19,2.75
Ranchi,Wheat,Clay Loam,6.98,High,High,High,1321,21,3.18
Ranchi,Rice,Loamy,6.47,High,High,High,1564,28,3.96
Ranchi,Pulses,Sandy Loam,6.43,Low,Low,Low,996,25,1.05
Ranchi,Pulses,Sandy Loam,6.19,High,Low,High,824,18,1.32
Ranchi,Rice,Clay Loam,6.96,High,Low,Low,1595,31,4.46
Ranchi,Wheat,Loamy,7.33,Medium,Medium,Medium,921,19,2.94
Ranchi,Wheat,Loamy,7.15,High,High,Medium,1000,20,3.12
Ranchi,Pulses,Sandy Loam,6.99,Medium,Low,Medium,1008,18,1.41
Ranchi,Wheat,Clay Loam,7.32,Medium,Medium,High,1199,18,2.24
Ranchi,Pulses,Sandy Loam,6.29,Low,Low,High,865,25,1.39
Ranchi,Maize,Sandy Loam,6.41,Low,Medium,High,1179,22,2.12
Ranchi,Wheat,Clay Loam,6.72,Low,Medium,High,1023,22,2.07
Ranchi,Wheat,Clay Loam,6.77,High,Low,Medium,1270,24,2.61
Ranchi,Rice,Clay Loam,5.98,Medium,Low,High,1592,28,3.84
Ranchi,Pulses,Loamy,7.15,Low,Low,Low,1042,26,1.28
Ranchi,Wheat,Loamy,6.13,High,High,Medium,1306,23,2.57
Ranchi,Pulses,Loamy,6.22,High,Medium,High,1035,18,1.39
Ranchi,Pulses,Sandy Loam,6.98,Medium,Medium,Low,841,24,1.86
Ranchi,Maize,Loamy,6.09,Medium,High,Low,1089,27,3.2
Ranchi,Rice,Loamy,5.61,Low,Medium,Medium,1433,31,3.52
Ranchi,Wheat,Clay Loam,6.55,High,Medium,Low,1276,23,2.93
Ranchi,Wheat,Loamy,6.42,Low,Low,Low,1272,24,2.58
Ranchi,Pulses,Loamy,7.25,Medium,Medium,Medium,833,27,1.8
Ranchi,Wheat,Clay Loam,7.05,High,Low,High,1115,23,3.18
Ranchi,Rice,Loamy,6.73,Medium,Medium,High,1540,28,4.25
Ranchi,Wheat,Clay Loam,6.14,Medium,Low,Medium,1166,25,2.08
Ranchi,Rice,Clay Loam,6.34,Low,Medium,Medium,1343,23,3.96
Ranchi,Rice,Clay Loam,6.36,High,High,Medium,1586,24,3.4
Ranchi,Pulses,Sandy Loam,6.36,High,Low,Medium,876,23,1.59
Ranchi,Wheat,Clay Loam,7.02,Medium,High,High,1311,21,2.46
Ranchi,Rice,Loamy,6.19,Medium,High,Low,1286,26,3.45
Ranchi,Wheat,Loamy,6.44,Medium,Medium,High,909,19,3.27
Ranchi,Pulses,Sandy Loam,6.94,Medium,Medium,Low,937,23,1.41
Ranchi,Rice,Clayey,6.14,High,Low,High,1519,30,3.68
Ranchi,Pulses,Loamy,6.3,Medium,Low,Medium,962,26,1.24
Ranchi,Maize,Sandy Loam,6.03,Medium,Low,High,1013,23,2.65
Ranchi,Wheat,Loamy,7.03,Medium,Low,Medium,1319,21,3.22
Ranchi,Maize,Loamy,5.94,High,Medium,Medium,1122,23,2.73
Ranchi,Pulses,Sandy Loam,6.05,High,Low,High,1015,19,1.51
Ranchi,Maize,Sandy Loam,7.28,High,High,Low,1044,18,2.76
Ranchi,Rice,Loamy,6.56,Low,Low,Medium,1436,24,3.61
Ranchi,Wheat,Clay Loam,6.37,Medium,Low,Low,999,23,3.1
Ranchi,Rice,Loamy,5.78,High,Low,Low,1225,32,3.91
Ranchi,Pulses,Sandy Loam,6.02,Low,High,Low,820,28,1.13
Ranchi,Pulses,Sandy Loam,7.24,Medium,High,Medium,1002,25,1.33
Ranchi,Maize,Loamy,6.4,High,Low,High,1066,22,2.39
Ranchi,Maize,Sandy Loam,6.37,High,Low,Medium,1162,22,2.0
Ranchi,Rice,Clayey,6.02,Low,High,High,1510,28,3.9
Ranchi,Rice,Clayey,6.3,Medium,Medium,High,1295,22,2.95
Ranchi,Maize,Sandy Loam,6.24,Medium,Low,High,916,28,3.98
Ranchi,Maize,Sandy Loam,5.87,High,High,Low,934,23,2.22
Ranchi,Rice,Clayey,6.87,Medium,Low,Low,1408,25,4.27
Ranchi,Rice,Clay Loam,6.14,Medium,Low,Medium,1201,27,4.48
Ranchi,Rice,Clayey,6.34,Low,Medium,Medium,1458,25,3.75
Ranchi,Wheat,Loamy,7.21,Low,Low,High,1249,24,2.32
Ranchi,Pulses,Sandy Loam,6.75,Medium,Low,Medium,851,27,1.3
Ranchi,Pulses,Sandy Loam,7.13,High,High,Low,943,27,1.75
Ranchi,Rice,Clayey,6.91,Medium,Low,Medium,1361,32,3.79
Ranchi,Pulses,Sandy Loam,7.44,High,High,Medium,1075,22,1.95
Ranchi,Wheat,Loamy,7.1,Low,Low,Medium,1171,21,2.91
Ranchi,Wheat,Loamy,7.05,High,High,High,1008,23,2.96
Ranchi,Maize,Loamy,6.21,Low,High,Low,1041,20,2.79
Ranchi,Wheat,Clay Loam,6.68,High,Medium,Low,974,25,2.22
Ranchi,Pulses,Loamy,7.29,Medium,High,Medium,965,26,1.92
Ranchi,Maize,Loamy,6.82,High,Medium,Low,1104,20,3.57
Ranchi,Pulses,Loamy,6.42,Low,Medium,High,963,27,1.61
Ranchi,Maize,Loamy,6.51,Low,Medium,Medium,1006,20,3.17
Ranchi,Pulses,Loamy,6.74,Low,High,Medium,1022,19,1.0
Ranchi,Wheat,Clay Loam,7.15,High,High,Medium,1306,21,1.87
Ranchi,Pulses,Sandy Loam,6.89,Low,Medium,Medium,1025,27,1.92
Ranchi,Pulses,Sandy Loam,7.46,Medium,Low,Medium,932,22,1.52
Ranchi,Pulses,Loamy,6.51,Medium,Low,Low,809,23,1.51
Ranchi,Rice,Clay Loam,5.93,High,Low,Low,1509,25,4.19
Ranchi,Maize,Sandy Loam,6.84,High,High,High,990,25,3.84
Ranchi,Pulses,Sandy Loam,6.33,High,High,Medium,846,23,1.31
Ranchi,Rice,Loamy,5.63,Medium,Low,Low,1425,27,3.82
Ranchi,Rice,Clay Loam,5.95,Medium,Low,Medium,1392,27,3.71
Ranchi,Rice,Loamy,5.51,Medium,Medium,High,1412,25,2.77
Ranchi,Wheat,Clay Loam,6.32,Medium,High,Medium,1133,18,2.7
Ranchi,Wheat,Clay Loam,6.36,High,Medium,Medium,920,18,3.1
Ranchi,Maize,Sandy Loam,6.47,High,Low,Medium,1110,22,3.19
Ranchi,Rice,Clay Loam,5.76,Medium,Low,High,1420,31,2.6
Ranchi,Wheat,Clay Loam,7.47,Medium,High,High,929,24,2.19
Ranchi,Wheat,Clay Loam,6.51,High,Medium,Medium,1046,24,2.0
Ranchi,Wheat,Loamy,7.42,Medium,High,High,1274,21,2.19
Ranchi,Wheat,Loamy,7.47,Medium,High,Low,1353,20,2.25
Ranchi,Wheat,Loamy,6.71,Low,Medium,Low,1160,25,1.85
Ranchi,Pulses,Sandy Loam,7.18,Medium,Medium,High,946,18,1.72
Ranchi,Maize,Sandy Loam,6.06,Medium,High,Medium,951,19,2.71
Ranchi,Maize,Sandy Loam,5.85,High,Low,Low,1044,26,3.13
Ranchi,Rice,Clayey,6.93,Medium,High,High,1276,22,3.14
Ranchi,Rice,Loamy,5.58,High,Medium,Low,1518,30,4.46
Ranchi,Maize,Loamy,6.97,High,High,High,1149,21,3.82
Ranchi,Pulses,Loamy,6.63,Medium,High,Medium,841,26,1.21
Ranchi,Maize,Sandy Loam,6.84,Low,Low,Medium,1132,18,3.27
Ranchi,Maize,Loamy,5.86,Low,High,High,1189,18,3.81
Ranchi,Rice,Clay Loam,6.77,Medium,Medium,Low,1530,24,4.46
Ranchi,Maize,Loamy,6.38,High,Low,Medium,928,28,2.41
Ranchi,Rice,Loamy,6.75,High,High,Medium,1379,26,4.05
Ranchi,Wheat,Clay Loam,6.76,Medium,Medium,Medium,961,25,1.81
Ranchi,Rice,Loamy,6.28,Low,High,Medium,1369,26,2.51
Ranchi,Pulses,Loamy,6.31,Medium,Low,Medium,851,27,1.87
Ranchi,Wheat,Clay Loam,7.23,High,Medium,Low,1305,18,3.31
Ranchi,Rice,Loamy,6.81,High,High,Medium,1265,23,2.51
Ranchi,Pulses,Sandy Loam,7.08,Low,High,Low,1080,28,1.7
Ranchi,Wheat,Clay Loam,7.19,Low,High,High,1018,19,2.22
